id,gid,x,y,v_x,v_y,radius,time
0,0,-8.888867,-1.001712,1.111327,-0.017119,0.750000,0.100000
1,0,-8.901574,1.004518,0.984264,0.045179,0.750000,0.100000
2,1,-0.130000,0.000000,-1.300000,0.000000,0.750000,0.100000
0,0,-8.768441,-0.998028,1.204265,0.036840,0.750000,0.200000
1,0,-8.771811,1.008907,1.297621,0.043890,0.750000,0.200000
2,1,-0.260000,0.000000,-1.300000,0.000000,0.750000,0.200000
0,0,-8.666149,-0.988691,1.022914,0.093367,0.750000,0.300000
1,0,-8.645619,1.007044,1.261926,-0.018631,0.750000,0.300000
2,1,-0.390000,0.000000,-1.300000,0.000000,0.750000,0.300000
0,0,-8.546324,-0.995807,1.198259,-0.071157,0.750000,0.400000
1,0,-8.529374,1.003664,1.162451,-0.033797,0.750000,0.400000
2,1,-0.520000,0.000000,-1.300000,0.000000,0.750000,0.400000
0,0,-8.412816,-0.995838,1.335079,-0.000315,0.750000,0.500000
1,0,-8.403469,1.007832,1.259048,0.041678,0.750000,0.500000
2,1,-0.650000,0.000000,-1.300000,0.000000,0.750000,0.500000
0,0,-8.290126,-0.993012,1.226895,0.028261,0.750000,0.600000
1,0,-8.292521,1.028937,1.109475,0.211047,0.750000,0.600000
2,1,-0.780000,0.000000,-1.300000,0.000000,0.750000,0.600000
0,0,-8.174006,-0.991277,1.161203,0.017349,0.750000,0.700000
1,0,-8.175004,1.041943,1.175171,0.130060,0.750000,0.700000
2,1,-0.910000,0.000000,-1.300000,0.000000,0.750000,0.700000
0,0,-8.038114,-0.984746,1.358917,0.065311,0.750000,0.800000
1,0,-8.044780,1.037058,1.302240,-0.048849,0.750000,0.800000
2,1,-1.040000,0.000000,-1.300000,0.000000,0.750000,0.800000
0,0,-7.920388,-0.979847,1.177259,0.048988,0.750000,0.900000
1,0,-7.893728,1.035441,1.510527,-0.016164,0.750000,0.900000
2,1,-1.170000,0.000000,-1.300000,0.000000,0.750000,0.900000
0,0,-7.802995,-0.979469,1.173929,0.003781,0.750000,1.000000
1,0,-7.752903,1.029240,1.408245,-0.062009,0.750000,1.000000
2,1,-1.300000,0.000000,-1.300000,0.000000,0.750000,1.000000
0,0,-7.684221,-0.966410,1.187743,0.130593,0.750000,1.100000
1,0,-7.620360,1.032346,1.325433,0.031058,0.750000,1.100000
2,1,-1.430000,0.000000,-1.300000,0.000000,0.750000,1.100000
0,0,-7.571498,-0.993469,1.127227,-0.270592,0.750000,1.200000
1,0,-7.488143,1.052424,1.322167,0.200783,0.750000,1.200000
2,1,-1.554156,-0.001858,-1.241560,-0.018578,0.750000,1.200000
0,0,-7.465727,-1.018931,1.057711,-0.254613,0.750000,1.300000
1,0,-7.364980,1.075140,1.231627,0.227160,0.750000,1.300000
2,1,-1.661979,-0.006332,-1.078227,-0.044744,0.750000,1.300000
0,0,-7.336823,-1.052967,1.289042,-0.340367,0.750000,1.400000
1,0,-7.242443,1.096761,1.225379,0.216205,0.750000,1.400000
2,1,-1.793895,-0.007452,-1.319167,-0.011199,0.750000,1.400000
0,0,-7.239782,-1.073441,0.970413,-0.204738,0.750000,1.500000
1,0,-7.121712,1.116717,1.207309,0.199562,0.750000,1.500000
2,1,-1.967466,-0.014013,-1.735709,-0.065613,0.750000,1.500000
0,0,-7.107034,-1.111927,1.327477,-0.384862,0.750000,1.600000
1,0,-7.023110,1.137250,0.986018,0.205330,0.750000,1.600000
2,1,-2.052467,-0.012165,-0.850004,0.018484,0.750000,1.600000
0,0,-6.980539,-1.129374,1.264948,-0.174469,0.750000,1.700000
1,0,-6.919310,1.158052,1.038000,0.208020,0.750000,1.700000
2,1,-2.157492,-0.012421,-1.050255,-0.002561,0.750000,1.700000
0,0,-6.851207,-1.158594,1.293322,-0.292194,0.750000,1.800000
1,0,-6.799421,1.179547,1.198890,0.214946,0.750000,1.800000
2,1,-2.260599,-0.007187,-1.031069,0.052340,0.750000,1.800000
0,0,-6.736126,-1.198094,1.150814,-0.395003,0.750000,1.900000
1,0,-6.664398,1.202995,1.350225,0.234481,0.750000,1.900000
2,1,-2.367682,-0.016376,-1.070831,-0.091884,0.750000,1.900000
0,0,-6.602362,-1.228357,1.337636,-0.302628,0.750000,2.000000
1,0,-6.526143,1.229493,1.382558,0.264987,0.750000,2.000000
2,1,-2.484910,-0.033353,-1.172275,-0.169773,0.750000,2.000000
0,0,-6.491654,-1.265207,1.107084,-0.368506,0.750000,2.100000
1,0,-6.406638,1.255801,1.195043,0.263080,0.750000,2.100000
