id,gid,x,y,v_x,v_y,radius,time
0,0,10.160760,0.376597,-0.053395,0.214931,0.200000,0.100000
1,0,12.512128,0.597350,-0.362719,0.058234,0.200000,0.100000
2,0,7.319107,-0.123632,-0.029326,-0.016508,0.200000,0.100000
3,0,6.707567,-0.834784,-0.969731,0.055936,0.200000,0.100000
4,0,8.818248,0.709393,-0.168020,0.093808,0.200000,0.100000
5,0,5.226174,0.519932,0.025140,-0.146709,0.200000,0.100000
6,0,13.684950,-1.065154,-0.105497,-0.153244,0.200000,0.100000
7,0,10.809515,-0.196958,-0.504846,-0.271127,0.200000,0.100000
8,0,13.272785,-0.542864,-0.401153,-0.054233,0.200000,0.100000
9,0,8.028308,-0.240717,-0.012424,-0.200927,0.200000,0.100000
10,0,6.811772,0.269433,-0.515284,0.498954,0.200000,0.100000
11,0,14.755512,-0.721391,-0.053878,-0.301431,0.200000,0.100000
12,0,13.392396,0.582868,-0.175043,-0.126358,0.200000,0.100000
13,0,8.514172,0.138697,-0.121276,0.069106,0.200000,0.100000
14,0,6.790061,-0.414079,-0.222794,0.008223,0.200000,0.100000
15,0,13.579511,1.030509,-0.325892,0.096685,0.200000,0.100000
16,0,6.374404,0.038757,-0.712558,-0.112303,0.200000,0.100000
17,0,6.719913,0.844488,-0.595069,-0.384091,0.200000,0.100000
18,0,9.471718,-0.448110,-0.267117,-0.104693,0.200000,0.100000
19,0,7.307348,-0.879396,-0.249425,-0.400058,0.200000,0.100000
20,1,7.315369,7.698421,0.152991,-0.149387,0.200000,0.100000
21,1,8.337453,-4.312339,-0.286465,-1.171887,0.200000,0.100000
22,1,7.092480,2.308951,-0.191097,-0.270990,0.200000,0.100000
23,1,9.083449,-3.139549,-0.048814,-0.628585,0.200000,0.100000
24,1,5.295622,5.453724,-0.145176,-0.362458,0.200000,0.100000
25,1,8.394042,-2.046946,-0.188278,-0.177659,0.200000,0.100000
26,1,6.809758,6.564084,-0.122123,-0.042264,0.200000,0.100000
27,1,5.169782,1.221015,0.027619,-0.022153,0.200000,0.100000
28,1,4.797447,2.993628,-0.121034,-0.291420,0.200000,0.100000
29,1,4.814069,0.679318,0.015985,-0.297364,0.200000,0.100000
30,1,7.623137,3.437116,0.200070,-0.097738,0.200000,0.100000
31,1,7.271919,-4.361628,-0.038909,-0.166782,0.200000,0.100000
32,1,5.657950,2.114948,0.132203,-1.247116,0.200000,0.100000
33,1,7.966652,5.359942,-0.106680,-0.041681,0.200000,0.100000
34,1,4.918927,6.590196,-0.081930,-0.461036,0.200000,0.100000
35,1,9.186774,3.772165,0.024435,-0.125152,0.200000,0.100000
36,1,6.179872,4.213313,-0.166177,0.049925,0.200000,0.100000
37,1,8.563939,3.819362,0.112188,-0.432684,0.200000,0.100000
38,1,9.155707,4.611029,0.143967,-0.208309,0.200000,0.100000
39,1,6.767978,8.818567,-0.309321,-0.499329,0.200000,0.100000
0,0,10.128956,0.385546,-0.318041,0.089487,0.200000,0.200000
1,0,12.470595,0.606056,-0.415327,0.087052,0.200000,0.200000
2,0,7.318227,-0.123094,-0.008804,0.005383,0.200000,0.200000
3,0,6.584944,-0.842008,-1.226232,-0.072239,0.200000,0.200000
4,0,8.779005,0.726395,-0.392427,0.170022,0.200000,0.200000
5,0,5.176090,0.431615,-0.500840,-0.883166,0.200000,0.200000
6,0,13.652497,-1.064005,-0.324530,0.011499,0.200000,0.200000
7,0,10.763538,-0.202995,-0.459778,-0.060375,0.200000,0.200000
8,0,13.230494,-0.544456,-0.422909,-0.015916,0.200000,0.200000
9,0,8.009368,-0.225574,-0.189398,0.151422,0.200000,0.200000
10,0,6.819472,0.295532,0.077007,0.260990,0.200000,0.200000
11,0,14.720465,-0.726436,-0.350468,-0.050449,0.200000,0.200000
12,0,13.379179,0.575146,-0.132168,-0.077225,0.200000,0.200000
13,0,8.502453,0.141975,-0.117198,0.032789,0.200000,0.200000
14,0,6.789959,-0.395785,-0.001013,0.182934,0.200000,0.200000
15,0,13.541671,1.024691,-0.378400,-0.058179,0.200000,0.200000
16,0,6.256491,0.025347,-1.179135,-0.134101,0.200000,0.200000
17,0,6.663093,0.895086,-0.568196,0.505985,0.200000,0.200000
18,0,9.453815,-0.434901,-0.179029,0.132092,0.200000,0.200000
19,0,7.203055,-0.899631,-1.042920,-0.202355,0.200000,0.200000
20,1,7.299170,7.596830,-0.161988,-1.015909,0.200000,0.200000
21,1,8.314455,-4.434941,-0.229988,-1.226022,0.200000,0.200000
22,1,7.080271,2.235128,-0.122089,-0.738234,0.200000,0.200000
23,1,9.045482,-3.255516,-0.379661,-1.159678,0.200000,0.200000
24,1,5.288488,5.416817,-0.071342,-0.369068,0.200000,0.200000
25,1,8.375265,-2.147514,-0.187768,-1.005678,0.200000,0.200000
26,1,6.805253,6.461275,-0.045043,-1.028086,0.200000,0.200000
27,1,5.191224,1.197328,0.214425,-0.236864,0.200000,0.200000
28,1,4.791522,2.943553,-0.059248,-0.500746,0.200000,0.200000
29,1,4.816351,0.557387,0.022825,-1.219302,0.200000,0.200000
30,1,7.649996,3.375587,0.268589,-0.615291,0.200000,0.200000
31,1,7.261410,-4.409968,-0.105094,-0.483398,0.200000,0.200000
32,1,5.657247,2.025831,-0.007034,-0.891178,0.200000,0.200000
33,1,7.942134,5.265141,-0.245175,-0.948014,0.200000,0.200000
34,1,4.892409,6.506868,-0.265184,-0.833286,0.200000,0.200000
35,1,9.187934,3.692914,0.011606,-0.792513,0.200000,0.200000
36,1,6.166337,4.210137,-0.135354,-0.031755,0.200000,0.200000
37,1,8.575279,3.772652,0.113404,-0.467091,0.200000,0.200000
38,1,9.184087,4.587832,0.283803,-0.231969,0.200000,0.200000
39,1,6.779296,8.709896,0.113182,-1.086708,0.200000,0.200000
0,0,10.116868,0.414039,-0.120884,0.284928,0.200000,0.300000
1,0,12.404024,0.644289,-0.665713,0.382330,0.200000,0.300000
2,0,7.309828,-0.166569,-0.083990,-0.434756,0.200000,0.300000
3,0,6.495838,-0.846919,-0.891058,-0.049108,0.200000,0.300000
4,0,8.712533,0.752851,-0.664728,0.264559,0.200000,0.300000
5,0,5.107891,0.344977,-0.681989,-0.866385,0.200000,0.300000
6,0,13.593163,-1.090863,-0.593339,-0.268581,0.200000,0.300000
7,0,10.726560,-0.217771,-0.369772,-0.147761,0.200000,0.300000
8,0,13.149337,-0.551480,-0.811570,-0.070238,0.200000,0.300000
9,0,7.968605,-0.259426,-0.407626,-0.338517,0.200000,0.300000
10,0,6.718676,0.303125,-1.007960,0.075923,0.200000,0.300000
11,0,14.673086,-0.743639,-0.473798,-0.172030,0.200000,0.300000
12,0,13.305671,0.611536,-0.735075,0.363899,0.200000,0.300000
13,0,8.484347,0.125120,-0.181052,-0.168550,0.200000,0.300000
14,0,6.719957,-0.392594,-0.700020,0.031912,0.200000,0.300000
15,0,13.481375,1.036508,-0.602962,0.118169,0.200000,0.300000
16,0,6.161446,0.010547,-0.950450,-0.147993,0.200000,0.300000
17,0,6.602768,0.959676,-0.603259,0.645895,0.200000,0.300000
18,0,9.418453,-0.452155,-0.353626,-0.172542,0.200000,0.300000
19,0,7.097682,-0.918322,-1.053733,-0.186905,0.200000,0.300000
20,1,7.279706,7.491589,-0.194647,-1.052416,0.200000,0.300000
21,1,8.294012,-4.538947,-0.204425,-1.040058,0.200000,0.300000
22,1,7.029179,2.189778,-0.510925,-0.453499,0.200000,0.300000
23,1,9.021078,-3.377507,-0.244044,-1.219904,0.200000,0.300000
24,1,5.279537,5.361741,-0.089515,-0.550764,0.200000,0.300000
25,1,8.341294,-2.294314,-0.339715,-1.468008,0.200000,0.300000
26,1,6.779067,6.321302,-0.261863,-1.399727,0.200000,0.300000
27,1,5.207834,1.106414,0.166092,-0.909148,0.200000,0.300000
28,1,4.800555,2.849870,0.090328,-0.936835,0.200000,0.300000
29,1,4.793640,0.430330,-0.227106,-1.270576,0.200000,0.300000
30,1,7.695164,3.322618,0.451684,-0.529689,0.200000,0.300000
31,1,7.275223,-4.516973,0.138132,-1.070053,0.200000,0.300000
32,1,5.676381,1.918164,0.191340,-1.076668,0.200000,0.300000
33,1,7.898319,5.175558,-0.438151,-0.895823,0.200000,0.300000
34,1,4.849809,6.427685,-0.425996,-0.791830,0.200000,0.300000
35,1,9.189937,3.613720,0.020028,-0.791938,0.200000,0.300000
36,1,6.148738,4.136078,-0.175990,-0.740585,0.200000,0.300000
37,1,8.593791,3.737960,0.185117,-0.346923,0.200000,0.300000
38,1,9.191932,4.523755,0.078448,-0.640772,0.200000,0.300000
39,1,6.797943,8.584910,0.186464,-1.249862,0.200000,0.300000
0,0,10.068052,0.422166,-0.488155,0.081270,0.200000,0.400000
1,0,12.344565,0.688454,-0.594590,0.441658,0.200000,0.400000
2,0,7.229020,-0.231557,-0.808081,-0.649874,0.200000,0.400000
3,0,6.380219,-0.842819,-1.156188,0.041003,0.200000,0.400000
4,0,8.671411,0.781397,-0.411213,0.285463,0.200000,0.400000
5,0,5.008315,0.303459,-0.995759,-0.415176,0.200000,0.400000
6,0,13.524349,-1.139240,-0.688146,-0.483774,0.200000,0.400000
7,0,10.665180,-0.216192,-0.613807,0.015790,0.200000,0.400000
8,0,13.065451,-0.557998,-0.838859,-0.065186,0.200000,0.400000
9,0,7.894274,-0.341712,-0.743308,-0.822856,0.200000,0.400000
10,0,6.720306,0.307857,0.016301,0.047323,0.200000,0.400000
11,0,14.583161,-0.738898,-0.899248,0.047413,0.200000,0.400000
12,0,13.227723,0.636142,-0.779480,0.246065,0.200000,0.400000
13,0,8.452451,0.123678,-0.318964,-0.014419,0.200000,0.400000
14,0,6.707762,-0.378592,-0.121949,0.140020,0.200000,0.400000
15,0,13.390499,1.081887,-0.908752,0.453795,0.200000,0.400000
16,0,6.038403,0.000065,-1.230424,-0.104821,0.200000,0.400000
17,0,6.427619,0.950066,-1.751488,-0.096104,0.200000,0.400000
18,0,9.388367,-0.475022,-0.300862,-0.228663,0.200000,0.400000
19,0,7.008083,-0.966512,-0.895992,-0.481907,0.200000,0.400000
20,1,7.254256,7.376824,-0.254498,-1.147647,0.200000,0.400000
