id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.007500,0.130000,-0.150000,0.750000,0.050000
1,0,-8.993500,1.007500,0.130000,0.150000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.014247,0.247000,-0.134946,0.750000,0.100000
1,0,-8.981150,1.014247,0.247000,0.134946,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.020892,0.352300,-0.132895,0.750000,0.150000
1,0,-8.963535,1.020892,0.352300,0.132895,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941182,-1.027461,0.447070,-0.131384,0.750000,0.200000
1,0,-8.941182,1.027461,0.447070,0.131384,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914563,-1.033955,0.532363,-0.129871,0.750000,0.250000
1,0,-8.914563,1.033955,0.532363,0.129871,0.750000,0.250000
2,1,-0.085437,0.000000,-0.532363,0.000000,0.750000,0.250000
0,0,-8.884107,-1.040374,0.609126,-0.128381,0.750000,0.300000
1,0,-8.884107,1.040374,0.609126,0.128381,0.750000,0.300000
2,1,-0.115893,0.000000,-0.609127,0.000000,0.750000,0.300000
0,0,-8.850196,-1.046719,0.678213,-0.126910,0.750000,0.350000
1,0,-8.850196,1.046719,0.678213,0.126910,0.750000,0.350000
2,1,-0.149736,0.000054,-0.676865,0.001086,0.750000,0.350000
0,0,-8.813177,-1.052992,0.740391,-0.125461,0.750000,0.400000
1,0,-8.813177,1.052992,0.740391,0.125461,0.750000,0.400000
2,1,-0.186175,0.000103,-0.728783,0.000967,0.750000,0.400000
0,0,-8.773359,-1.059194,0.796352,-0.124031,0.750000,0.450000
1,0,-8.773359,1.059194,0.796352,0.124031,0.750000,0.450000
2,1,-0.224616,0.000146,-0.768820,0.000874,0.750000,0.450000
0,0,-8.731596,-1.065798,0.835256,-0.132083,0.750000,0.500000
1,0,-8.731600,1.065797,0.835180,0.132070,0.750000,0.500000
2,1,-0.264563,0.000186,-0.798943,0.000799,0.750000,0.500000
0,0,-8.688177,-1.072483,0.868387,-0.133704,0.750000,0.550000
1,0,-8.688188,1.072481,0.868240,0.133673,0.750000,0.550000
2,1,-0.305678,0.000223,-0.822285,0.000736,0.750000,0.550000
0,0,-8.643360,-1.079213,0.896338,-0.134588,0.750000,0.600000
1,0,-8.643382,1.079208,0.896126,0.134536,0.750000,0.600000
2,1,-0.347656,0.000257,-0.839557,0.000684,0.750000,0.600000
0,0,-8.597368,-1.085991,0.919842,-0.135574,0.750000,0.650000
1,0,-8.597403,1.085983,0.919573,0.135500,0.750000,0.650000
2,1,-0.390246,0.000289,-0.851802,0.000642,0.750000,0.650000
0,0,-8.550390,-1.092887,0.939565,-0.137907,0.750000,0.700000
1,0,-8.550441,1.092873,0.939243,0.137808,0.750000,0.700000
2,1,-0.433244,0.000320,-0.859959,0.000607,0.750000,0.700000
0,0,-8.502583,-1.099954,0.956143,-0.141346,0.750000,0.750000
1,0,-8.502653,1.099934,0.955771,0.141222,0.750000,0.750000
2,1,-0.476491,0.000349,-0.864954,0.000579,0.750000,0.750000
0,0,-8.454077,-1.107239,0.970113,-0.145702,0.750000,0.800000
1,0,-8.454168,1.107212,0.969693,0.145553,0.750000,0.800000
2,1,-0.519869,0.000377,-0.867546,0.000556,0.750000,0.800000
0,0,-8.404981,-1.114780,0.981924,-0.150827,0.750000,0.850000
1,0,-8.405095,1.114745,0.981458,0.150653,0.750000,0.850000
2,1,-0.563286,0.000403,-0.868353,0.000536,0.750000,0.850000
0,0,-8.355383,-1.122611,0.991957,-0.156604,0.750000,0.900000
1,0,-8.355523,1.122565,0.991446,0.156407,0.750000,0.900000
2,1,-0.606680,0.000429,-0.867882,0.000521,0.750000,0.900000
0,0,-8.305356,-1.130758,1.000534,-0.162942,0.750000,0.950000
1,0,-8.305524,1.130701,0.999977,0.162722,0.750000,0.950000
2,1,-0.650008,0.000455,-0.866550,0.000508,0.750000,0.950000
0,0,-8.254960,-1.139246,1.007932,-0.169771,0.750000,1.000000
1,0,-8.255158,1.139178,1.007327,0.169530,0.750000,1.000000
2,1,-0.693243,0.000480,-0.864700,0.000498,0.750000,1.000000
0,0,-8.204240,-1.148098,1.014385,-0.177037,0.750000,1.050000
1,0,-8.204471,1.148016,1.013730,0.176774,0.750000,1.050000
2,1,-0.736374,0.000504,-0.862621,0.000489,0.750000,1.050000
0,0,-8.153235,-1.157333,1.020099,-0.184698,0.750000,1.100000
1,0,-8.153501,1.157237,1.019392,0.184417,0.750000,1.100000
2,1,-0.779402,0.000528,-0.860556,0.000482,0.750000,1.100000
0,0,-8.101973,-1.166969,1.025255,-0.192726,0.750000,1.150000
1,0,-8.102277,1.166859,1.024493,0.192427,0.750000,1.150000
2,1,-0.822338,0.000552,-0.858718,0.000475,0.750000,1.150000
0,0,-8.050472,-1.177024,1.030016,-0.201100,0.750000,1.200000
1,0,-8.050817,1.176898,1.029194,0.200786,0.750000,1.200000
2,1,-0.865202,0.000575,-0.857295,0.000469,0.750000,1.200000
0,0,-7.998745,-1.187515,1.034531,-0.209807,0.750000,1.250000
1,0,-7.999135,1.187372,1.033645,0.209480,0.750000,1.250000
2,1,-0.908026,0.000599,-0.856466,0.000462,0.750000,1.250000
0,0,-7.946798,-1.198457,1.038941,-0.218839,0.750000,1.300000
1,0,-7.947236,1.198297,1.037985,0.218502,0.750000,1.300000
2,1,-0.950846,0.000621,-0.856403,0.000455,0.750000,1.300000
0,0,-7.894629,-1.209866,1.043384,-0.228193,0.750000,1.350000
1,0,-7.895118,1.209689,1.042352,0.227849,0.750000,1.350000
2,1,-0.993710,0.000644,-0.857283,0.000446,0.750000,1.350000
0,0,-7.842229,-1.221760,1.048000,-0.237866,0.750000,1.400000
1,0,-7.842774,1.221565,1.046885,0.237520,0.750000,1.400000
2,1,-1.036675,0.000665,-0.859298,0.000434,0.750000,1.400000
0,0,-7.789582,-1.234152,1.052939,-0.247858,0.750000,1.450000
1,0,-7.790187,1.233941,1.051733,0.247515,0.750000,1.450000
2,1,-1.079808,0.000686,-0.862666,0.000418,0.750000,1.450000
0,0,-7.736664,-1.247061,1.058368,-0.258164,0.750000,1.500000
1,0,-7.737334,1.246833,1.057062,0.257830,0.750000,1.500000
2,1,-1.123191,0.000706,-0.867650,0.000398,0.750000,1.500000
0,0,-7.683440,-1.260499,1.064485,-0.268770,0.750000,1.550000
1,0,-7.684181,1.260255,1.063067,0.268453,0.750000,1.550000
2,1,-1.166920,0.000725,-0.874579,0.000369,0.750000,1.550000
0,0,-7.629863,-1.274481,1.071540,-0.279643,0.750000,1.600000
1,0,-7.630681,1.274223,1.069998,0.279355,0.750000,1.600000
2,1,-1.211114,0.000741,-0.883893,0.000331,0.750000,1.600000
0,0,-7.575869,-1.289017,1.079878,-0.290710,0.750000,1.650000
1,0,-7.576771,1.288746,1.078192,0.290468,0.750000,1.650000
2,1,-1.255925,0.000755,-0.896226,0.000276,0.750000,1.650000
0,0,-7.521367,-1.304107,1.090041,-0.301796,0.750000,1.700000
1,0,-7.522362,1.303828,1.088182,0.301627,0.750000,1.700000
2,1,-1.301556,0.000765,-0.912602,0.000195,0.750000,1.700000
0,0,-7.466208,-1.319725,1.103165,-0.312368,0.750000,1.750000
1,0,-7.467310,1.319445,1.101048,0.312342,0.750000,1.750000
2,1,-1.348316,0.000767,-0.935198,0.000045,0.750000,1.750000
0,0,-7.410067,-1.333655,1.122824,-0.278608,0.750000,1.800000
1,0,-7.411264,1.333374,1.120919,0.278587,0.750000,1.800000
2,1,-1.396899,0.000769,-0.971678,0.000034,0.750000,1.800000
0,0,-7.353823,-1.348698,1.124880,-0.300842,0.750000,1.850000
1,0,-7.355114,1.348413,1.122987,0.300784,0.750000,1.850000
2,1,-1.445553,0.000772,-0.973063,0.000065,0.750000,1.850000
0,0,-7.296960,-1.364607,1.137261,-0.318184,0.750000,1.900000
1,0,-7.298368,1.364332,1.134918,0.318381,0.750000,1.900000
2,1,-1.495298,0.000762,-0.994913,-0.000195,0.750000,1.900000
0,0,-7.239285,-1.378780,1.153502,-0.283458,0.750000,1.950000
1,0,-7.240799,1.378514,1.151393,0.283638,0.750000,1.950000
2,1,-1.546569,0.000753,-1.025422,-0.000183,0.750000,1.950000
0,0,-7.181501,-1.394416,1.155683,-0.312730,0.750000,2.000000
1,0,-7.183111,1.394154,1.153755,0.312791,0.750000,2.000000
2,1,-1.598592,0.003777,-1.040446,0.060479,0.750000,2.000000
0,0,-7.122997,-1.408331,1.170076,-0.278290,0.750000,2.050000
1,0,-7.125819,1.411393,1.145835,0.344780,0.750000,2.050000
2,1,-1.650786,0.003175,-1.043896,-0.012037,0.750000,2.050000
0,0,-7.064674,-1.424087,1.166464,-0.315123,0.750000,2.100000
1,0,-7.067759,1.426742,1.161209,0.306986,0.750000,2.100000
2,1,-1.703434,0.006030,-1.052944,0.057092,0.750000,2.100000
0,0,-7.005685,-1.438096,1.179773,-0.280180,0.750000,2.150000
1,0,-7.010097,1.443975,1.153240,0.344664,0.750000,2.150000
2,1,-1.756226,0.005005,-1.055846,-0.020500,0.750000,2.150000
0,0,-6.946900,-1.454205,1.175701,-0.322187,0.750000,2.200000
1,0,-6.951703,1.459305,1.167866,0.306594,0.750000,2.200000
2,1,-1.809437,0.007759,-1.064216,0.055086,0.750000,2.200000
0,0,-6.887496,-1.468518,1.188078,-0.286267,0.750000,2.250000
1,0,-6.893591,1.476758,1.162247,0.349053,0.750000,2.250000
2,1,-1.862888,0.006391,-1.069016,-0.027354,0.750000,2.250000
0,0,-6.828109,-1.485112,1.187738,-0.331864,0.750000,2.300000
1,0,-6.834793,1.492270,1.175964,0.310250,0.750000,2.300000
2,1,-1.916919,0.009060,-1.080638,0.053379,0.750000,2.300000
0,0,-6.768164,-1.499846,1.198903,-0.294695,0.750000,2.350000
1,0,-6.775947,1.510063,1.176916,0.355861,0.750000,2.350000
2,1,-1.971479,0.007424,-1.091185,-0.032718,0.750000,2.350000
0,0,-6.707717,-1.512902,1.208947,-0.261107,0.750000,2.400000
1,0,-6.716489,1.525867,1.189156,0.316074,0.750000,2.400000
2,1,-2.027082,0.005949,-1.112067,-0.029515,0.750000,2.400000
0,0,-6.647713,-1.529100,1.200075,-0.323957,0.750000,2.450000
1,0,-6.656481,1.539873,1.200168,0.280119,0.750000,2.450000
2,1,-2.082730,0.009278,-1.112951,0.066585,0.750000,2.450000
0,0,-6.587213,-1.543458,1.209993,-0.287168,0.750000,2.500000
1,0,-6.597174,1.557167,1.186142,0.345872,0.750000,2.500000
2,1,-2.138116,0.007358,-1.107725,-0.038406,0.750000,2.500000
0,0,-6.526268,-1.556154,1.218915,-0.253921,0.750000,2.550000
1,0,-6.537302,1.572499,1.197445,0.306644,0.750000,2.550000
2,1,-2.194463,0.005626,-1.126952,-0.034634,0.750000,2.550000
0,0,-6.465626,-1.572551,1.212835,-0.327929,0.750000,2.600000
1,0,-6.476921,1.586058,1.207612,0.271193,0.750000,2.600000
2,1,-2.250971,0.009267,-1.130152,0.072830,0.750000,2.600000
0,0,-6.404553,-1.587067,1.221462,-0.290327,0.750000,2.650000
1,0,-6.417157,1.603545,1.195270,0.349739,0.750000,2.650000
2,1,-2.307253,0.007011,-1.125648,-0.045125,0.750000,2.650000
0,0,-6.343092,-1.599884,1.229222,-0.256343,0.750000,2.700000
1,0,-6.356875,1.619029,1.205643,0.309680,0.750000,2.700000
2,1,-2.364408,0.004977,-1.143083,-0.040679,0.750000,2.700000
0,0,-6.281282,-1.611166,1.236200,-0.225630,0.750000,2.750000
1,0,-6.296127,1.632703,1.214973,0.273476,0.750000,2.750000
2,1,-2.422346,0.003144,-1.158775,-0.036659,0.750000,2.750000
0,0,-6.219854,-1.627326,1.228545,-0.323205,0.750000,2.800000
1,0,-6.234958,1.644741,1.223365,0.240756,0.750000,2.800000
2,1,-2.480295,0.007760,-1.158966,0.092309,0.750000,2.800000
0,0,-6.158075,-1.641602,1.235581,-0.285530,0.750000,2.850000
1,0,-6.174828,1.662100,1.202609,0.347191,0.750000,2.850000
2,1,-2.537533,0.005109,-1.144766,-0.053004,0.750000,2.850000
0,0,-6.095980,-1.654176,1.241906,-0.251480,0.750000,2.900000
1,0,-6.114217,1.677441,1.212224,0.306806,0.750000,2.900000
2,1,-2.595548,0.002722,-1.160290,-0.047753,0.750000,2.900000
0,0,-6.033600,-1.665212,1.247594,-0.220704,0.750000,2.950000
1,0,-6.053173,1.690956,1.220872,0.270304,0.750000,2.950000
2,1,-2.654261,0.000572,-1.174261,-0.043004,0.750000,2.950000
0,0,-5.970965,-1.674856,1.252707,-0.192887,0.750000,3.000000
1,0,-5.991741,1.702822,1.228648,0.237313,0.750000,3.000000
2,1,-2.713602,-0.001364,-1.186835,-0.038709,0.750000,3.000000
0,0,-5.908100,-1.683243,1.257305,-0.167744,0.750000,3.050000
1,0,-5.929959,1.713196,1.235640,0.207494,0.750000,3.050000
2,1,-2.773510,-0.003105,-1.198151,-0.034825,0.750000,3.050000
0,0,-5.845641,-1.698905,1.249170,-0.313236,0.750000,3.100000
1,0,-5.867862,1.722223,1.241928,0.180541,0.750000,3.100000
2,1,-2.833313,0.003740,-1.196068,0.136907,0.750000,3.100000
0,0,-5.782936,-1.712695,1.254109,-0.275799,0.750000,3.150000
1,0,-5.807620,1.739562,1.204841,0.346778,0.750000,3.150000
2,1,-2.891499,0.000369,-1.163720,-0.067419,0.750000,3.150000
0,0,-5.720009,-1.724793,1.258547,-0.241959,0.750000,3.200000
1,0,-5.746910,1.754843,1.214195,0.305615,0.750000,3.200000
2,1,-2.950367,-0.002665,-1.177348,-0.060680,0.750000,3.200000
0,0,-5.656882,-1.735361,1.262535,-0.211370,0.750000,3.250000
1,0,-5.685780,1.768263,1.222606,0.268408,0.750000,3.250000
2,1,-3.009847,-0.005394,-1.189614,-0.054586,0.750000,3.250000
0,0,-5.593576,-1.744547,1.266118,-0.183719,0.750000,3.300000
1,0,-5.624272,1.780002,1.230168,0.234776,0.750000,3.300000
2,1,-3.069880,-0.007848,-1.200652,-0.049073,0.750000,3.300000
0,0,-5.530109,-1.752483,1.269338,-0.158723,0.750000,3.350000
1,0,-5.562423,1.790221,1.236966,0.204374,0.750000,3.350000
2,1,-3.130409,-0.010052,-1.210587,-0.044087,0.750000,3.350000
0,0,-5.466497,-1.759290,1.272230,-0.136128,0.750000,3.400000
1,0,-5.500270,1.799066,1.243079,0.176893,0.750000,3.400000
2,1,-3.191386,-0.012031,-1.219528,-0.039577,0.750000,3.400000
0,0,-5.402756,-1.765075,1.274828,-0.115701,0.750000,3.450000
1,0,-5.437841,1.806668,1.248574,0.152051,0.750000,3.450000
2,1,-3.252764,-0.013806,-1.227575,-0.035497,0.750000,3.450000
0,0,-5.338898,-1.769937,1.277162,-0.097235,0.750000,3.500000
1,0,-5.375165,1.813148,1.253514,0.129593,0.750000,3.500000
2,1,-3.314505,-0.015396,-1.234818,-0.031807,0.750000,3.500000
0,0,-5.274935,-1.773964,1.279259,-0.080541,0.750000,3.550000
1,0,-5.312267,1.818612,1.257955,0.109292,0.750000,3.550000
2,1,-3.376572,-0.016820,-1.241336,-0.028468,0.750000,3.550000
0,0,-5.210878,-1.777236,1.281143,-0.065449,0.750000,3.600000
1,0,-5.249170,1.823159,1.261948,0.090940,0.750000,3.600000
2,1,-3.438932,-0.018092,-1.247202,-0.025448,0.750000,3.600000
0,0,-5.146736,-1.779826,1.282834,-0.051805,0.750000,3.650000
1,0,-5.185893,1.826877,1.265537,0.074348,0.750000,3.650000
2,1,-3.501556,-0.019228,-1.252482,-0.022716,0.750000,3.650000
0,0,-5.082518,-1.781800,1.284354,-0.039469,0.750000,3.700000
1,0,-5.122455,1.829844,1.268763,0.059349,0.750000,3.700000
2,1,-3.564418,-0.020240,-1.257233,-0.020244,0.750000,3.700000
0,0,-5.018232,-1.783216,1.285719,-0.028316,0.750000,3.750000
1,0,-5.058872,1.832134,1.271662,0.045788,0.750000,3.750000
2,1,-3.627494,-0.021140,-1.261510,-0.018008,0.750000,3.750000
0,0,-4.953885,-1.784127,1.286944,-0.018232,0.750000,3.800000
1,0,-4.995158,1.833810,1.274269,0.033528,0.750000,3.800000
2,1,-3.690761,-0.021940,-1.265359,-0.015985,0.750000,3.800000
0,0,-4.889483,-1.784583,1.288045,-0.009115,0.750000,3.850000
1,0,-4.931328,1.834932,1.276612,0.022444,0.750000,3.850000
2,1,-3.754203,-0.022647,-1.268823,-0.014155,0.750000,3.850000
0,0,-4.825031,-1.784627,1.289034,-0.000872,0.750000,3.900000
1,0,-4.867392,1.835553,1.278718,0.012422,0.750000,3.900000
2,1,-3.817800,-0.023272,-1.271940,-0.012499,0.750000,3.900000
0,0,-4.760535,-1.784298,1.289921,0.006581,0.750000,3.950000
1,0,-4.803361,1.835721,1.280611,0.003361,0.750000,3.950000
2,1,-3.881537,-0.023822,-1.274746,-0.011001,0.750000,3.950000
0,0,-4.695999,-1.783631,1.290719,0.013321,0.750000,4.000000
1,0,-4.739246,1.835480,1.282312,-0.004831,0.750000,4.000000
2,1,-3.945400,-0.024305,-1.277271,-0.009645,0.750000,4.000000
0,0,-4.631428,-1.782661,1.291435,0.019414,0.750000,4.050000
1,0,-4.675054,1.834868,1.283841,-0.012239,0.750000,4.050000
2,1,-4.009378,-0.024726,-1.279544,-0.008419,0.750000,4.050000
0,0,-4.566822,-1.781461,1.292103,0.023988,0.750000,4.100000
1,0,-4.610794,1.833968,1.285189,-0.018000,0.750000,4.100000
2,1,-4.073457,-0.025091,-1.281589,-0.007309,0.750000,4.100000
0,0,-4.502186,-1.780119,1.292737,0.026855,0.750000,4.150000
1,0,-4.546476,1.832871,1.286368,-0.021941,0.750000,4.150000
2,1,-4.137629,-0.025406,-1.283430,-0.006304,0.750000,4.150000
0,0,-4.437519,-1.778689,1.293326,0.028592,0.750000,4.200000
1,0,-4.482105,1.831638,1.287407,-0.024648,0.750000,4.200000
2,1,-4.201883,-0.025676,-1.285087,-0.005396,0.750000,4.200000
0,0,-4.372826,-1.777210,1.293867,0.029582,0.750000,4.250000
1,0,-4.417689,1.830313,1.288328,-0.026516,0.750000,4.250000
2,1,-4.266212,-0.025905,-1.286578,-0.004573,0.750000,4.250000
0,0,-4.308108,-1.775706,1.294361,0.030085,0.750000,4.300000
1,0,-4.353232,1.828922,1.289148,-0.027811,0.750000,4.300000
2,1,-4.330608,-0.026096,-1.287920,-0.003829,0.750000,4.300000
0,0,-4.243367,-1.774192,1.294808,0.030270,0.750000,4.350000
1,0,-4.288738,1.827486,1.289879,-0.028714,0.750000,4.350000
2,1,-4.395064,-0.026254,-1.289127,-0.003155,0.750000,4.350000
0,0,-4.178607,-1.772680,1.295213,0.030253,0.750000,4.400000
1,0,-4.224211,1.826019,1.290533,-0.029345,0.750000,4.400000
2,1,-4.459575,-0.026381,-1.290214,-0.002546,0.750000,4.400000
0,0,-4.113828,-1.771174,1.295577,0.030108,0.750000,4.450000
1,0,-4.159655,1.824530,1.291119,-0.029787,0.750000,4.450000
2,1,-4.524134,-0.026481,-1.291192,-0.001994,0.750000,4.450000
0,0,-4.049033,-1.769680,1.295905,0.029887,0.750000,4.500000
1,0,-4.095073,1.823025,1.291643,-0.030095,0.750000,4.500000
2,1,-4.588738,-0.026556,-1.292073,-0.001494,0.750000,4.500000
0,0,-3.984223,-1.768199,1.296199,0.029621,0.750000,4.550000
1,0,-4.030467,1.821510,1.292112,-0.030308,0.750000,4.550000
2,1,-4.653381,-0.026608,-1.292865,-0.001042,0.750000,4.550000
0,0,-3.919400,-1.766732,1.296462,0.029332,0.750000,4.600000
1,0,-3.965841,1.819987,1.292533,-0.030453,0.750000,4.600000
2,1,-4.718060,-0.026639,-1.293578,-0.000633,0.750000,4.600000
0,0,-3.854565,-1.765280,1.296698,0.029034,0.750000,4.650000
1,0,-3.901195,1.818460,1.292910,-0.030546,0.750000,4.650000
2,1,-4.782771,-0.026653,-1.294220,-0.000263,0.750000,4.650000
0,0,-3.789719,-1.763844,1.296909,0.028736,0.750000,4.700000
1,0,-3.836533,1.816930,1.293248,-0.030601,0.750000,4.700000
2,1,-4.847511,-0.026649,-1.294798,0.000072,0.750000,4.700000
0,0,-3.724864,-1.762422,1.297098,0.028442,0.750000,4.750000
1,0,-3.771855,1.815398,1.293550,-0.030627,0.750000,4.750000
2,1,-4.912277,-0.026630,-1.295318,0.000376,0.750000,4.750000
0,0,-3.660001,-1.761014,1.297267,0.028156,0.750000,4.800000
1,0,-3.707164,1.813867,1.293820,-0.030631,0.750000,4.800000
2,1,-4.977066,-0.026598,-1.295785,0.000650,0.750000,4.800000
0,0,-3.595130,-1.759620,1.297417,0.027880,0.750000,4.850000
1,0,-3.642461,1.812336,1.294061,-0.030616,0.750000,4.850000
2,1,-5.041877,-0.026553,-1.296207,0.000899,0.750000,4.850000
0,0,-3.530253,-1.758239,1.297551,0.027614,0.750000,4.900000
1,0,-3.577747,1.810807,1.294275,-0.030586,0.750000,4.900000
2,1,-5.106706,-0.026497,-1.296586,0.001124,0.750000,4.900000
0,0,-3.465369,-1.756871,1.297670,0.027358,0.750000,4.950000
1,0,-3.513024,1.809279,1.294467,-0.030544,0.750000,4.950000
2,1,-5.171552,-0.026430,-1.296927,0.001328,0.750000,4.950000
0,0,-3.400480,-1.755515,1.297777,0.027114,0.750000,5.000000
1,0,-3.448292,1.807755,1.294637,-0.030492,0.750000,5.000000
2,1,-5.236414,-0.026355,-1.297234,0.001512,0.750000,5.000000
0,0,-3.335587,-1.754172,1.297871,0.026879,0.750000,5.050000
1,0,-3.383553,1.806233,1.294788,-0.030431,0.750000,5.050000
2,1,-5.301289,-0.026271,-1.297510,0.001679,0.750000,5.050000
0,0,-3.270689,-1.752839,1.297955,0.026653,0.750000,5.100000
1,0,-3.318807,1.804715,1.294921,-0.030363,0.750000,5.100000
2,1,-5.366177,-0.026179,-1.297758,0.001831,0.750000,5.100000
0,0,-3.205788,-1.751517,1.298029,0.026437,0.750000,5.150000
1,0,-3.254055,1.803201,1.295038,-0.030289,0.750000,5.150000
2,1,-5.431076,-0.026081,-1.297982,0.001968,0.750000,5.150000
0,0,-3.140883,-1.750206,1.298095,0.026229,0.750000,5.200000
1,0,-3.189298,1.801690,1.295142,-0.030210,0.750000,5.200000
2,1,-5.495986,-0.025976,-1.298184,0.002092,0.750000,5.200000
0,0,-3.075975,-1.748904,1.298154,0.026029,0.750000,5.250000
1,0,-3.124536,1.800184,1.295232,-0.030126,0.750000,5.250000
2,1,-5.560904,-0.025866,-1.298365,0.002204,0.750000,5.250000
0,0,-3.011065,-1.747612,1.298205,0.025837,0.750000,5.300000
1,0,-3.059771,1.798682,1.295310,-0.030038,0.750000,5.300000
2,1,-5.625830,-0.025751,-1.298528,0.002306,0.750000,5.300000
0,0,-2.946152,-1.746330,1.298250,0.025651,0.750000,5.350000
1,0,-2.995002,1.797185,1.295378,-0.029947,0.750000,5.350000
2,1,-5.690764,-0.025631,-1.298675,0.002398,0.750000,5.350000
0,0,-2.881238,-1.745056,1.298290,0.025472,0.750000,5.400000
1,0,-2.930230,1.795692,1.295437,-0.029853,0.750000,5.400000
2,1,-5.755704,-0.025507,-1.298807,0.002481,0.750000,5.400000
0,0,-2.816322,-1.743791,1.298325,0.025299,0.750000,5.450000
1,0,-2.865456,1.794204,1.295486,-0.029757,0.750000,5.450000
2,1,-5.820651,-0.025379,-1.298926,0.002557,0.750000,5.450000
0,0,-2.751404,-1.742534,1.298355,0.025132,0.750000,5.500000
1,0,-2.800679,1.792721,1.295527,-0.029660,0.750000,5.500000
2,1,-5.885602,-0.025248,-1.299033,0.002625,0.750000,5.500000
0,0,-2.686485,-1.741286,1.298382,0.024970,0.750000,5.550000
1,0,-2.735901,1.791243,1.295562,-0.029560,0.750000,5.550000
2,1,-5.950559,-0.025113,-1.299129,0.002687,0.750000,5.550000
0,0,-2.621564,-1.740045,1.298405,0.024814,0.750000,5.600000
1,0,-2.671122,1.789770,1.295589,-0.029460,0.750000,5.600000
2,1,-6.015520,-0.024976,-1.299216,0.002743,0.750000,5.600000
0,0,-2.556643,-1.738812,1.298424,0.024661,0.750000,5.650000
1,0,-2.606341,1.788302,1.295611,-0.029359,0.750000,5.650000
2,1,-6.080484,-0.024836,-1.299294,0.002794,0.750000,5.650000
0,0,-2.491721,-1.737587,1.298441,0.024514,0.750000,5.700000
1,0,-2.541560,1.786839,1.295627,-0.029257,0.750000,5.700000
2,1,-6.145452,-0.024694,-1.299364,0.002840,0.750000,5.700000
0,0,-2.426798,-1.736368,1.298455,0.024370,0.750000,5.750000
1,0,-2.476778,1.785382,1.295638,-0.029154,0.750000,5.750000
2,1,-6.210424,-0.024550,-1.299427,0.002882,0.750000,5.750000
0,0,-2.361875,-1.735156,1.298467,0.024231,0.750000,5.800000
1,0,-2.411996,1.783929,1.295644,-0.029052,0.750000,5.800000
2,1,-6.275398,-0.024404,-1.299484,0.002920,0.750000,5.800000
0,0,-2.296951,-1.733952,1.298477,0.024096,0.750000,5.850000
1,0,-2.347213,1.782482,1.295646,-0.028949,0.750000,5.850000
2,1,-6.340375,-0.024256,-1.299535,0.002954,0.750000,5.850000
0,0,-2.232027,-1.732753,1.298485,0.023964,0.750000,5.900000
1,0,-2.282431,1.781039,1.295645,-0.028847,0.750000,5.900000
