id,gid,x,y,v_x,v_y,radius,time
0,0,10.158336,0.357728,-0.155273,0.052485,0.200000,0.050000
1,0,12.538149,0.591056,-0.205027,-0.009415,0.200000,0.050000
2,0,7.333078,-0.116811,0.220761,0.103409,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.832380,0.707007,-0.053392,0.139901,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.692858,-1.056131,-0.052843,-0.126023,0.200000,0.050000
7,0,10.855778,-0.171470,-0.084432,-0.032491,0.200000,0.050000
8,0,13.301630,-0.531856,-0.225408,0.111709,0.200000,0.050000
9,0,8.023010,-0.225734,-0.130802,-0.102208,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.755307,-0.690717,-0.111867,0.010621,0.200000,0.050000
12,0,13.392342,0.570504,-0.351164,-0.500000,0.200000,0.050000
13,0,8.523557,0.131068,-0.054866,-0.014362,0.200000,0.050000
14,0,6.798395,-0.389901,-0.278908,0.500000,0.200000,0.050000
15,0,13.620449,1.045840,0.166986,0.500000,0.200000,0.050000
16,0,6.420660,0.040806,-0.500000,-0.183622,0.200000,0.050000
17,0,6.772604,0.892557,-0.136315,0.193208,0.200000,0.050000
18,0,9.491908,-0.439214,-0.130439,-0.031464,0.200000,0.050000
19,0,7.347132,-0.851025,0.296831,-0.232695,0.200000,0.050000
20,1,7.299225,7.707031,-0.016902,-0.126587,0.200000,0.050000
21,1,8.365570,-4.201486,-0.010603,-0.126728,0.200000,0.050000
22,1,7.111301,2.329030,-0.005777,-0.140392,0.200000,0.050000
23,1,9.086799,-3.083140,-0.030627,-0.128992,0.200000,0.050000
24,1,5.311032,5.482947,0.017849,-0.140457,0.200000,0.050000
25,1,8.411490,-2.035199,-0.027607,-0.120379,0.200000,0.050000
26,1,6.821858,6.561374,-0.002249,-0.138725,0.200000,0.050000
27,1,5.172062,1.229127,0.100831,0.117946,0.200000,0.050000
28,1,4.810004,3.016946,0.009072,-0.116487,0.200000,0.050000
29,1,4.787470,0.715526,-0.500000,0.129433,0.200000,0.050000
30,1,7.601762,3.440344,-0.027369,-0.130919,0.200000,0.050000
31,1,7.274435,-4.351588,-0.027508,-0.132755,0.200000,0.050000
32,1,5.646477,2.233480,0.034943,-0.123594,0.200000,0.050000
33,1,7.976853,5.357657,-0.009331,-0.129060,0.200000,0.050000
34,1,4.927736,6.630411,0.012324,-0.117779,0.200000,0.050000
35,1,9.191483,3.774198,0.143063,-0.209640,0.200000,0.050000
36,1,6.196857,4.201830,0.007340,-0.129793,0.200000,0.050000
37,1,8.544137,3.856225,-0.171668,-0.128093,0.200000,0.050000
38,1,9.141419,4.629974,0.002187,-0.037718,0.200000,0.050000
39,1,6.798816,8.862376,-0.001877,-0.122474,0.200000,0.050000
0,0,10.146301,0.359935,-0.240703,0.044140,0.200000,0.100000
1,0,12.521402,0.591527,-0.334933,0.009423,0.200000,0.100000
2,0,7.319116,-0.105070,-0.279239,0.234803,0.200000,0.100000
3,0,6.750557,-0.887402,-0.579651,-0.440475,0.200000,0.100000
4,0,8.826575,0.713309,-0.116111,0.126043,0.200000,0.100000
5,0,5.248660,0.488918,0.000000,-0.413701,0.200000,0.100000
6,0,13.683690,-1.061783,-0.183347,-0.113038,0.200000,0.100000
7,0,10.845467,-0.172871,-0.206224,-0.028033,0.200000,0.100000
