id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993510,-1.000076,0.129808,-0.001524,0.750000,0.050000
1,0,-8.993500,1.000000,0.130000,0.000000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981168,-1.000145,0.246827,-0.001371,0.750000,0.100000
1,0,-8.981150,1.000000,0.247000,0.000000,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963560,-1.000277,0.352155,-0.002643,0.750000,0.150000
1,0,-8.963535,1.000000,0.352298,0.000001,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352298,0.000001,0.750000,0.150000
0,0,-8.941211,-1.000519,0.446985,-0.004845,0.750000,0.200000
1,0,-8.941103,1.001219,0.448650,0.024376,0.750000,0.200000
2,1,-0.058817,0.000000,-0.447048,0.000007,0.750000,0.200000
0,0,-8.914554,-1.001755,0.533136,-0.024719,0.750000,0.250000
1,0,-8.914401,1.002491,0.534028,0.025445,0.750000,0.250000
2,1,-0.085433,0.000001,-0.532316,0.000014,0.750000,0.250000
0,0,-8.884067,-1.002871,0.609741,-0.022323,0.750000,0.300000
1,0,-8.883874,1.003677,0.610542,0.023719,0.750000,0.300000
2,1,-0.115880,0.000005,-0.608931,0.000068,0.750000,0.300000
0,0,-8.850135,-1.003879,0.678644,-0.020144,0.750000,0.350000
1,0,-8.849904,1.004780,0.679407,0.022064,0.750000,0.350000
2,1,-0.149770,0.000016,-0.677810,0.000225,0.750000,0.350000
0,0,-8.813092,-1.004814,0.740868,-0.018716,0.750000,0.400000
1,0,-8.812836,1.005777,0.741345,0.019945,0.750000,0.400000
2,1,-0.186763,0.000021,-0.739847,0.000103,0.750000,0.400000
0,0,-8.773266,-1.005730,0.796511,-0.018306,0.750000,0.450000
1,0,-8.772988,1.006682,0.796975,0.018088,0.750000,0.450000
2,1,-0.226537,0.000028,-0.795484,0.000137,0.750000,0.450000
0,0,-8.730944,-1.006633,0.846450,-0.018059,0.750000,0.500000
1,0,-8.730636,1.007505,0.847040,0.016456,0.750000,0.500000
2,1,-0.268809,0.000037,-0.845445,0.000180,0.750000,0.500000
0,0,-8.686364,-1.007502,0.891600,-0.017396,0.750000,0.550000
1,0,-8.686038,1.008255,0.891949,0.014998,0.750000,0.550000
2,1,-0.313334,0.000057,-0.890501,0.000414,0.750000,0.550000
0,0,-8.639756,-1.008365,0.932164,-0.017242,0.750000,0.600000
1,0,-8.639424,1.008952,0.932280,0.013944,0.750000,0.600000
2,1,-0.359862,0.000087,-0.930557,0.000584,0.750000,0.600000
0,0,-8.591337,-1.009243,0.968375,-0.017574,0.750000,0.650000
1,0,-8.591000,1.009599,0.968487,0.012936,0.750000,0.650000
2,1,-0.408183,0.000117,-0.966413,0.000618,0.750000,0.650000
0,0,-8.541286,-1.010057,1.001019,-0.016275,0.750000,0.700000
1,0,-8.540944,1.010200,1.001110,0.012023,0.750000,0.700000
2,1,-0.458140,0.000168,-0.999150,0.001019,0.750000,0.700000
0,0,-8.489772,-1.010883,1.030271,-0.016526,0.750000,0.750000
1,0,-8.489430,1.010770,1.030290,0.011406,0.750000,0.750000
2,1,-0.509538,0.000222,-1.027953,0.001080,0.750000,0.750000
0,0,-8.436941,-1.011731,1.056622,-0.016959,0.750000,0.800000
1,0,-8.436650,1.012286,1.055598,0.030322,0.750000,0.800000
2,1,-0.562226,0.000296,-1.053764,0.001474,0.750000,0.800000
0,0,-8.382953,-1.012692,1.079757,-0.019211,0.750000,0.850000
1,0,-8.382698,1.013681,1.079044,0.027897,0.750000,0.850000
2,1,-0.616096,0.000396,-1.077399,0.001993,0.750000,0.850000
0,0,-8.327920,-1.013588,1.100676,-0.017918,0.750000,0.900000
1,0,-8.327686,1.015029,1.100227,0.026962,0.750000,0.900000
2,1,-0.671026,0.000516,-1.098604,0.002413,0.750000,0.900000
0,0,-8.271963,-1.014732,1.119138,-0.022877,0.750000,0.950000
1,0,-8.271737,1.016346,1.118997,0.026334,0.750000,0.950000
2,1,-0.726911,0.000664,-1.117699,0.002945,0.750000,0.950000
0,0,-8.215165,-1.015808,1.135943,-0.021532,0.750000,1.000000
1,0,-8.214954,1.017694,1.135646,0.026968,0.750000,1.000000
2,1,-0.783585,0.000851,-1.133480,0.003750,0.750000,1.000000
0,0,-8.157612,-1.016902,1.151078,-0.021868,0.750000,1.050000
1,0,-8.157414,1.018997,1.150808,0.026050,0.750000,1.050000
2,1,-0.841019,0.001063,-1.148688,0.004231,0.750000,1.050000
0,0,-8.099375,-1.018058,1.164731,-0.023125,0.750000,1.100000
1,0,-8.099210,1.020221,1.164083,0.024494,0.750000,1.100000
2,1,-0.899058,0.001260,-1.160782,0.003950,0.750000,1.100000
0,0,-8.040550,-1.019154,1.176500,-0.021931,0.750000,1.150000
1,0,-8.040406,1.021371,1.176067,0.022998,0.750000,1.150000
2,1,-0.957629,0.001457,-1.171411,0.003938,0.750000,1.150000
0,0,-7.981203,-1.020365,1.186949,-0.024216,0.750000,1.200000
1,0,-7.981044,1.023326,1.187249,0.039086,0.750000,1.200000
2,1,-1.016656,0.001708,-1.180543,0.005026,0.750000,1.200000
0,0,-7.921382,-1.021583,1.196403,-0.024349,0.750000,1.250000
1,0,-7.921213,1.025151,1.196625,0.036512,0.750000,1.250000
2,1,-1.076076,0.001939,-1.188405,0.004603,0.750000,1.250000
0,0,-7.861142,-1.022792,1.204814,-0.024179,0.750000,1.300000
1,0,-7.860961,1.026950,1.205032,0.035968,0.750000,1.300000
2,1,-1.135860,0.002195,-1.195668,0.005136,0.750000,1.300000
0,0,-7.800542,-1.024031,1.212003,-0.024785,0.750000,1.350000
1,0,-7.800348,1.028732,1.212254,0.035649,0.750000,1.350000
2,1,-1.196036,0.002531,-1.203534,0.006717,0.750000,1.350000
0,0,-7.739623,-1.025317,1.218381,-0.025734,0.750000,1.400000
1,0,-7.739421,1.030502,1.218546,0.035403,0.750000,1.400000
2,1,-1.256570,0.002952,-1.210676,0.008422,0.750000,1.400000
0,0,-7.678433,-1.026653,1.223799,-0.026711,0.750000,1.450000
1,0,-7.678198,1.032927,1.224467,0.048490,0.750000,1.450000
2,1,-1.317415,0.003442,-1.216890,0.009799,0.750000,1.450000
0,0,-7.617027,-1.027999,1.228116,-0.026918,0.750000,1.500000
1,0,-7.616756,1.035335,1.228831,0.048162,0.750000,1.500000
