id,gid,x,y,v_x,v_y,radius,time
0,0,10.159602,0.354952,-0.129964,-0.003043,0.200000,0.050000
1,0,12.541882,0.591347,-0.130356,-0.003600,0.200000,0.050000
2,0,7.318133,-0.119748,-0.078136,0.044657,0.200000,0.050000
3,0,6.779540,-0.847779,-0.500000,-0.148024,0.200000,0.050000
4,0,8.834762,0.712839,-0.005753,0.256535,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.689662,-1.050594,-0.116765,-0.015281,0.200000,0.050000
7,0,10.853500,-0.169775,-0.129993,0.001392,0.200000,0.050000
8,0,13.306403,-0.537250,-0.129944,0.003814,0.200000,0.050000
9,0,8.004550,-0.235446,-0.500000,-0.296440,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.754404,-0.691021,-0.129921,0.004545,0.200000,0.050000
12,0,13.403973,0.595297,-0.118537,-0.004143,0.200000,0.050000
13,0,8.519479,0.132078,-0.136418,0.005842,0.200000,0.050000
14,0,6.837340,-0.389901,0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.772463,0.885375,-0.139142,0.049570,0.200000,0.050000
18,0,9.491933,-0.437445,-0.129941,0.003922,0.200000,0.050000
19,0,7.357290,-0.849565,0.500000,-0.203501,0.200000,0.050000
20,1,7.298880,7.706970,-0.023810,-0.127801,0.200000,0.050000
21,1,8.364611,-4.201477,-0.029780,-0.126543,0.200000,0.050000
22,1,7.111531,2.329550,-0.001176,-0.129995,0.200000,0.050000
23,1,9.086453,-3.082913,-0.037542,-0.124461,0.200000,0.050000
24,1,5.310845,5.483508,0.014099,-0.129233,0.200000,0.050000
25,1,8.411674,-2.035472,-0.023919,-0.125847,0.200000,0.050000
26,1,6.822040,6.561810,0.001397,-0.129992,0.200000,0.050000
27,1,5.168068,1.216815,0.020954,-0.128300,0.200000,0.050000
28,1,4.810189,3.017044,0.012786,-0.114528,0.200000,0.050000
29,1,4.812828,0.701228,0.007166,-0.156526,0.200000,0.050000
30,1,7.602839,3.440397,-0.005825,-0.129869,0.200000,0.050000
31,1,7.275493,-4.351442,-0.006333,-0.129846,0.200000,0.050000
32,1,5.645446,2.233199,0.014316,-0.129219,0.200000,0.050000
33,1,7.976907,5.357623,-0.008252,-0.129741,0.200000,0.050000
34,1,4.927924,6.629850,0.016074,-0.129002,0.200000,0.050000
35,1,9.183313,3.778260,-0.020346,-0.128398,0.200000,0.050000
36,1,6.196857,4.201830,0.007340,-0.129793,0.200000,0.050000
37,1,8.551996,3.856170,-0.014471,-0.129192,0.200000,0.050000
38,1,9.140369,4.625429,-0.018824,-0.128630,0.200000,0.050000
39,1,6.798979,8.862000,0.001385,-0.129993,0.200000,0.050000
0,0,10.147255,0.354662,-0.246929,-0.005790,0.200000,0.100000
1,0,12.529483,0.590967,-0.247987,-0.007603,0.200000,0.100000
2,0,7.339226,-0.092515,0.421864,0.544657,0.200000,0.100000
3,0,6.755219,-0.858129,-0.486416,-0.206996,0.200000,0.100000
4,0,8.828241,0.724177,-0.130427,0.226772,0.200000,0.100000
5,0,5.266615,0.485119,0.359093,-0.489673,0.200000,0.100000
6,0,13.678151,-1.051222,-0.230220,-0.012551,0.200000,0.100000
7,0,10.841147,-0.169645,-0.247076,0.002607,0.200000,0.100000
8,0,13.293656,-0.536207,-0.254931,0.020859,0.200000,0.100000
9,0,7.975854,-0.248746,-0.573913,-0.266008,0.200000,0.100000
10,0,6.903941,0.267090,0.312823,0.451040,0.200000,0.100000
11,0,14.742062,-0.690589,-0.246849,0.008635,0.200000,0.100000
12,0,13.392142,0.594901,-0.236618,-0.007910,0.200000,0.100000
13,0,8.506841,0.132275,-0.252765,0.003939,0.200000,0.100000
14,0,6.837340,-0.389901,0.000000,0.000000,0.200000,0.100000
15,0,13.653110,1.067976,0.320204,0.442716,0.200000,0.100000
16,0,6.391660,0.002473,-0.580000,-0.450284,0.200000,0.100000
17,0,6.759748,0.887095,-0.254297,0.034398,0.200000,0.100000
18,0,9.479589,-0.437072,-0.246884,0.007451,0.200000,0.100000
19,0,7.373305,-0.858277,0.320306,-0.174234,0.200000,0.100000
20,1,7.296618,7.694829,-0.045239,-0.242822,0.200000,0.100000
21,1,8.361782,-4.213499,-0.056583,-0.240432,0.200000,0.100000
22,1,7.111445,2.317208,-0.001733,-0.246839,0.200000,0.100000
23,1,9.082890,-3.094741,-0.071254,-0.236551,0.200000,0.100000
24,1,5.312228,5.470951,0.027658,-0.251141,0.200000,0.100000
25,1,8.409463,-2.047535,-0.044216,-0.241259,0.200000,0.100000
26,1,6.822162,6.549483,0.002448,-0.246546,0.200000,0.100000
27,1,5.170058,1.204626,0.039813,-0.243770,0.200000,0.100000
28,1,4.811843,3.005480,0.033074,-0.231274,0.200000,0.100000
29,1,4.801741,0.673867,-0.221736,-0.547220,0.200000,0.100000
30,1,7.601918,3.427957,-0.018417,-0.248800,0.200000,0.100000
31,1,7.274891,-4.363778,-0.012037,-0.246709,0.200000,0.100000
32,1,5.646742,2.221054,0.025934,-0.242902,0.200000,0.100000
33,1,7.976123,5.345298,-0.015679,-0.246505,0.200000,0.100000
34,1,4.929451,6.617595,0.030540,-0.245105,0.200000,0.100000
35,1,9.181398,3.766086,-0.038295,-0.243472,0.200000,0.100000
36,1,6.197553,4.189499,0.013924,-0.246627,0.200000,0.100000
37,1,8.548058,3.844162,-0.078776,-0.240162,0.200000,0.100000
38,1,9.138584,4.613213,-0.035700,-0.244311,0.200000,0.100000
39,1,6.799111,8.849651,0.002632,-0.246986,0.200000,0.100000
0,0,10.128380,0.355733,-0.377509,0.021403,0.200000,0.150000
1,0,12.511801,0.590407,-0.353640,-0.011193,0.200000,0.150000
2,0,7.350869,-0.068416,0.232856,0.481989,0.200000,0.150000
3,0,6.726765,-0.867044,-0.569090,-0.178294,0.200000,0.150000
4,0,8.816504,0.734778,-0.234747,0.212021,0.200000,0.150000
5,0,5.270212,0.472001,0.071944,-0.262365,0.200000,0.150000
6,0,13.661320,-1.051518,-0.336617,-0.005919,0.200000,0.150000
7,0,10.823528,-0.169458,-0.352361,0.003738,0.200000,0.150000
8,0,13.275687,-0.535078,-0.359381,0.022582,0.200000,0.150000
9,0,7.951382,-0.263912,-0.489453,-0.303317,0.200000,0.150000
10,0,6.911511,0.287213,0.151396,0.402456,0.200000,0.150000
11,0,14.724720,-0.689855,-0.346836,0.014679,0.200000,0.150000
12,0,13.374998,0.594335,-0.342888,-0.011322,0.200000,0.150000
13,0,8.489087,0.132440,-0.355075,0.003309,0.200000,0.150000
14,0,6.824112,-0.386358,-0.264554,0.070860,0.200000,0.150000
15,0,13.661030,1.087527,0.158396,0.391014,0.200000,0.150000
16,0,6.363833,-0.028712,-0.556531,-0.623699,0.200000,0.150000
17,0,6.741823,0.888154,-0.358499,0.021180,0.200000,0.150000
18,0,9.461706,-0.436823,-0.357656,0.004994,0.200000,0.150000
19,0,7.381235,-0.865668,0.158587,-0.147815,0.200000,0.150000
20,1,7.293437,7.677602,-0.063610,-0.344533,0.200000,0.150000
21,1,8.357747,-4.230645,-0.080705,-0.342932,0.200000,0.150000
22,1,7.111305,2.299608,-0.002792,-0.352004,0.200000,0.150000
23,1,9.077807,-3.111608,-0.101670,-0.337357,0.200000,0.150000
24,1,5.314177,5.453188,0.038991,-0.355260,0.200000,0.150000
25,1,8.406348,-2.064792,-0.062310,-0.345130,0.200000,0.150000
26,1,6.822322,6.531850,0.003199,-0.352669,0.200000,0.150000
27,1,5.172898,1.187242,0.056785,-0.347693,0.200000,0.150000
28,1,4.814379,2.988689,0.050714,-0.335810,0.200000,0.150000
29,1,4.792781,0.643002,-0.179204,-0.617301,0.200000,0.150000
30,1,7.600601,3.410173,-0.026330,-0.355676,0.200000,0.150000
31,1,7.274033,-4.381372,-0.017166,-0.351884,0.200000,0.150000
