id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.000000,0.130000,0.000000,0.750000,0.050000
1,0,-8.993500,1.000000,0.130000,0.000000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.000000,0.247000,-0.000000,0.750000,0.100000
1,0,-8.981150,1.000000,0.247000,0.000000,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.025000,0.352300,-0.500000,0.750000,0.150000
1,0,-8.963535,1.025000,0.352300,0.500000,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352296,0.000000,0.750000,0.150000
0,0,-8.941182,-1.047491,0.447070,-0.449819,0.750000,0.200000
1,0,-8.941182,1.047491,0.447070,0.449819,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447066,0.000000,0.750000,0.200000
0,0,-8.914563,-1.067716,0.532362,-0.404493,0.750000,0.250000
1,0,-8.914563,1.067716,0.532362,0.404493,0.750000,0.250000
2,1,-0.085436,0.000000,-0.532360,0.000000,0.750000,0.250000
0,0,-8.884107,-1.085893,0.609125,-0.363552,0.750000,0.300000
1,0,-8.884107,1.085893,0.609125,0.363552,0.750000,0.300000
2,1,-0.115892,0.000000,-0.609124,0.000000,0.750000,0.300000
0,0,-8.850197,-1.102222,0.678211,-0.326573,0.750000,0.350000
1,0,-8.850197,1.102222,0.678211,0.326573,0.750000,0.350000
2,1,-0.149803,0.000000,-0.678211,0.000000,0.750000,0.350000
0,0,-8.813177,-1.116880,0.740388,-0.293171,0.750000,0.400000
1,0,-8.813177,1.116880,0.740388,0.293171,0.750000,0.400000
2,1,-0.186822,0.000000,-0.740390,0.000000,0.750000,0.400000
0,0,-8.773360,-1.130030,0.796346,-0.263001,0.750000,0.450000
1,0,-8.773360,1.130030,0.796346,0.263001,0.750000,0.450000
2,1,-0.226640,0.000000,-0.796351,0.000000,0.750000,0.450000
0,0,-8.731024,-1.141818,0.846708,-0.235750,0.750000,0.500000
1,0,-8.731024,1.141818,0.846708,0.235750,0.750000,0.500000
2,1,-0.268976,0.000000,-0.846716,0.000000,0.750000,0.500000
0,0,-8.686423,-1.152375,0.892033,-0.211135,0.750000,0.550000
1,0,-8.686423,1.152375,0.892033,0.211135,0.750000,0.550000
2,1,-0.313578,0.000000,-0.892044,0.000000,0.750000,0.550000
0,0,-8.639782,-1.161820,0.932825,-0.188902,0.750000,0.600000
