id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.000000,0.130000,0.000000,0.750000,0.050000
1,0,-8.993500,1.000000,0.130000,0.000000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.000000,0.247000,-0.000000,0.750000,0.100000
1,0,-8.981150,1.000000,0.247000,0.000000,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.000000,0.352299,-0.000001,0.750000,0.150000
1,0,-8.963535,1.000000,0.352299,0.000001,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352298,0.000000,0.750000,0.150000
0,0,-8.941182,-1.000000,0.447062,-0.000007,0.750000,0.200000
1,0,-8.941182,1.000000,0.447062,0.000007,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447054,0.000000,0.750000,0.200000
0,0,-8.914565,-1.000002,0.532332,-0.000027,0.750000,0.250000
1,0,-8.914565,1.000002,0.532332,0.000027,0.750000,0.250000
2,1,-0.085433,0.000000,-0.532302,0.000000,0.750000,0.250000
0,0,-8.884113,-1.000005,0.609050,-0.000068,0.750000,0.300000
1,0,-8.884113,1.000005,0.609050,0.000068,0.750000,0.300000
2,1,-0.115881,0.000000,-0.608974,0.000000,0.750000,0.300000
0,0,-8.850210,-1.000012,0.678062,-0.000136,0.750000,0.350000
1,0,-8.850210,1.000012,0.678062,0.000136,0.750000,0.350000
2,1,-0.149777,0.000000,-0.677910,0.000000,0.750000,0.350000
0,0,-8.813203,-1.000024,0.740129,-0.000236,0.750000,0.400000
1,0,-8.813203,1.000024,0.740129,0.000236,0.750000,0.400000
2,1,-0.186770,0.000000,-0.739866,0.000000,0.750000,0.400000
0,0,-8.773406,-1.000042,0.795940,-0.000370,0.750000,0.450000
1,0,-8.773406,1.000042,0.795940,0.000370,0.750000,0.450000
2,1,-0.226547,0.000000,-0.795528,0.000000,0.750000,0.450000
0,0,-8.731100,-1.000069,0.846115,-0.000540,0.750000,0.500000
1,0,-8.731100,1.000069,0.846115,0.000540,0.750000,0.500000
2,1,-0.268822,0.000000,-0.845512,0.000000,0.750000,0.500000
0,0,-8.686540,-1.000107,0.891211,-0.000748,0.750000,0.550000
1,0,-8.686540,1.000107,0.891211,0.000748,0.750000,0.550000
2,1,-0.313341,0.000000,-0.890375,0.000000,0.750000,0.550000
0,0,-8.639953,-1.000156,0.931731,-0.000995,0.750000,0.600000
